vaccine,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,month_week,curr_week_ending,prev_week_ending,curr_season,prev_season,curr_est,past_est,curr_ci_halfwidth_95pct,past_ci_halfwidth_95pct,difference_estimate,significance,curr_ci_95,past_ci_95,diff_ci_95,difference_indicator,estimate,binrangetext,binrangeorder
COVID,State,New York,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,4.1,3.1,1.455,0.9844,1.0476,1.7567,2.7 to 5.6,2.1 to 4.1,-0.7 to 2.8,Similar to Last Season,0.0414,3.5 - 4.1,3
COVID,State,New York,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,4.3,3.1,1.4063,0.9844,1.2217,1.7166,2.9 to 5.7,2.1 to 4.1,-0.5 to 2.9,Similar to Last Season,0.0431,3.9 - 5.1,3
COVID,State,New York,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,6.5,4.2,4.0664,2.331,2.3109,4.6871,2.4 to 10.5,1.8 to 6.5,-2.4 to 7.0,Similar to Last Season,0.0647,5.7 - 7.0,4
COVID,State,New York,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.8,8,1.6528,1.2072,-1.1644,2.0467,5.2 to 8.5,6.8 to 9.2,-3.2 to 0.9,Similar to Last Season,0.0684,6.7 - 8.3,3
COVID,State,New York,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,7.7,8.1,1.9269,1.1862,-0.3622,2.2627,5.8 to 9.6,6.9 to 9.3,-2.6 to 1.9,Similar to Last Season,0.0772,6.9 - 8.8,3
COVID,State,New York,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,7.7,8.1,1.9269,1.1862,-0.3622,2.2627,5.8 to 9.6,6.9 to 9.3,-2.6 to 1.9,Similar to Last Season,0.0772,7.2 - 9.0,3
COVID,State,New York,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,7.7,8.1,1.9269,1.1934,-0.428,2.2665,5.8 to 9.6,7.0 to 9.3,-2.7 to 1.8,Similar to Last Season,0.0772,7.3 - 9.4,3
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.1,1.1,1.938,0.5477,1.9196,2.0139,1.1 to 5.0,0.6 to 1.7,-0.1 to 3.9,Similar to Last Season,0.0306,2.2 - 3.1,2
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.1,1.7,1.938,1.274,1.3393,2.3192,1.1 to 5.0,0.4 to 3.0,-1.0 to 3.7,Similar to Last Season,0.0306,2.5 - 3.4,2
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,5.4,1.8,3.9207,1.232,3.594,4.1097,1.5 to 9.3,0.6 to 3.1,-0.5 to 7.7,Similar to Last Season,0.0543,5.2 - 6.7,4
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,6.5,1.8,4.4235,1.232,4.6264,4.5919,2.0 to 10.9,0.6 to 3.1,0.0 to 9.2,Higher than Last Season,0.0646,5.7 - 7.0,4
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.6,6,2.8688,1.4039,0.6125,3.1939,3.8 to 9.5,4.6 to 7.4,-2.6 to 3.8,Similar to Last Season,0.0664,4.9 - 6.6,2
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,6.7,6,2.8434,1.4038,0.6611,3.1711,3.9 to 9.5,4.6 to 7.4,-2.5 to 3.8,Similar to Last Season,0.067,4.9 - 6.8,2
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,6.7,6.4,2.8434,1.5742,0.3151,3.2501,3.9 to 9.5,4.8 to 8.0,-2.9 to 3.6,Similar to Last Season,0.067,4.9 - 7.1,2
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,6.7,6.4,2.8434,1.5742,0.3151,3.2501,3.9 to 9.5,4.8 to 8.0,-2.9 to 3.6,Similar to Last Season,0.067,5.2 - 7.2,2
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,1.2,0.9,0.8265,0.4535,0.3317,0.9427,0.4 to 2.0,0.4 to 1.3,-0.6 to 1.3,Similar to Last Season,0.012,0.7 - 2.1,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,1.4,0.9,0.9028,0.4535,0.5345,1.0103,0.5 to 2.3,0.4 to 1.3,-0.5 to 1.5,Similar to Last Season,0.014,0.7 - 2.4,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,1.4,1.9,0.9028,1.7712,-0.5396,1.988,0.5 to 2.3,0.2 to 3.7,-2.5 to 1.4,Similar to Last Season,0.014,1.0 - 2.7,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,1.4,1.9,0.9028,1.7712,-0.5396,1.988,0.5 to 2.3,0.2 to 3.7,-2.5 to 1.4,Similar to Last Season,0.014,1.3 - 2.7,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,4.4,3.6,1.8412,1.0599,0.8951,2.1245,2.6 to 6.3,2.5 to 4.6,-1.2 to 3.0,Similar to Last Season,0.0445,2.3 - 4.8,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,4.4,3.6,1.8412,1.0599,0.8951,2.1245,2.6 to 6.3,2.5 to 4.6,-1.2 to 3.0,Similar to Last Season,0.0445,2.3 - 4.8,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,4.4,3.9,1.8412,1.3197,0.5034,2.2653,2.6 to 6.3,2.6 to 5.3,-1.8 to 2.8,Similar to Last Season,0.0445,2.4 - 4.8,1
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,5,3.9,2.0991,1.3197,1.027,2.4795,2.9 to 7.1,2.6 to 5.3,-1.5 to 3.5,Similar to Last Season,0.0497,2.5 - 5.1,1
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,5.6,2.3,1.6931,0.8414,3.301,1.8906,3.9 to 7.3,1.4 to 3.1,1.4 to 5.2,Higher than Last Season,0.0559,5.0 - 10.4,5
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,5.7,4.6,1.692,2.5462,1.0338,3.0571,4.0 to 7.4,2.1 to 7.2,-2.0 to 4.1,Similar to Last Season,0.0566,5.4 - 10.5,5
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,5.7,4.6,1.6917,2.5462,1.0617,3.057,4.0 to 7.4,2.1 to 7.2,-2.0 to 4.1,Similar to Last Season,0.0569,5.2 - 6.7,4
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,7,8.7,3.0997,6.2408,-1.6515,6.9682,3.9 to 10.1,2.4 to 14.9,-8.6 to 5.3,Similar to Last Season,0.0702,7.1 - 13.9,5
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,12.8,10.4,2.6345,1.8174,2.3954,3.2006,10.2 to 15.5,8.6 to 12.3,-0.8 to 5.6,Similar to Last Season,0.1284,10.8 - 26.5,5
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,14.7,10.4,4.0027,1.8174,4.2044,4.396,10.6 to 18.7,8.6 to 12.3,-0.2 to 8.6,Similar to Last Season,0.1465,11.5 - 26.7,5
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,14.7,10.4,4.0027,1.8174,4.2044,4.396,10.6 to 18.7,8.6 to 12.3,-0.2 to 8.6,Similar to Last Season,0.1465,11.6 - 28.2,5
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,16.4,12.5,4.6408,4.4467,3.9563,6.4273,11.8 to 21.1,8.0 to 16.9,-2.5 to 10.4,Similar to Last Season,0.1642,12.0 - 28.3,5
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.9,3.4,2.2885,2.8571,0.526,3.6606,1.6 to 6.2,0.5 to 6.3,-3.1 to 4.2,Similar to Last Season,0.0393,3.2 - 3.9,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.9,3.5,2.2885,1.7873,0.4453,2.9037,1.6 to 6.2,1.7 to 5.3,-2.5 to 3.3,Similar to Last Season,0.0393,3.5 - 4.1,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,4.4,3.8,2.1371,1.7488,0.6063,2.7614,2.2 to 6.5,2.0 to 5.5,-2.2 to 3.4,Similar to Last Season,0.0438,3.9 - 5.1,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,5.2,3.8,2.6191,1.7488,1.3775,3.1493,2.5 to 7.8,2.0 to 5.5,-1.8 to 4.5,Similar to Last Season,0.0515,4.0 - 5.6,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,7.9,7.6,1.7304,1.1232,0.3032,2.063,6.1 to 9.6,6.4 to 8.7,-1.8 to 2.4,Similar to Last Season,0.0787,6.7 - 8.3,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,7.9,8,1.7304,1.2802,-0.0763,2.1525,6.1 to 9.6,6.7 to 9.2,-2.2 to 2.1,Similar to Last Season,0.0788,6.9 - 8.8,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,8.6,8,1.9933,1.2785,0.6427,2.3681,6.6 to 10.6,6.7 to 9.3,-1.7 to 3.0,Similar to Last Season,0.0862,7.2 - 9.0,3
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,9.2,8,2.3171,1.2785,1.1755,2.6464,6.8 to 11.5,6.7 to 9.3,-1.5 to 3.8,Similar to Last Season,0.0916,7.3 - 9.4,3
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,1.7,1.1,0.839,0.6101,0.5234,1.0374,0.8 to 2.5,0.5 to 1.8,-0.5 to 1.6,Similar to Last Season,0.0167,0.7 - 2.1,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,2.5,1.2,1.9064,0.6253,1.3314,2.0063,0.6 to 4.5,0.6 to 1.8,-0.7 to 3.3,Similar to Last Season,0.0255,2.5 - 3.4,2
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,2.5,1.2,1.9064,0.625,1.3229,2.0062,0.6 to 4.5,0.6 to 1.8,-0.7 to 3.3,Similar to Last Season,0.0255,1.0 - 2.7,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,2.5,1.2,1.9064,0.625,1.3229,2.0062,0.6 to 4.5,0.6 to 1.8,-0.7 to 3.3,Similar to Last Season,0.0255,1.3 - 2.7,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,3.1,2.6,1.4027,0.8975,0.4806,1.6653,1.7 to 4.5,1.7 to 3.5,-1.2 to 2.1,Similar to Last Season,0.0307,2.3 - 4.8,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,3.1,2.6,1.4027,0.8975,0.4806,1.6653,1.7 to 4.5,1.7 to 3.5,-1.2 to 2.1,Similar to Last Season,0.0307,2.3 - 4.8,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,3.1,4.2,1.4027,1.1072,-1.0965,1.787,1.7 to 4.5,3.1 to 5.3,-2.9 to 0.7,Similar to Last Season,0.0307,2.4 - 4.8,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,3.1,4.2,1.4027,1.1072,-1.0965,1.787,1.7 to 4.5,3.1 to 5.3,-2.9 to 0.7,Similar to Last Season,0.0307,2.5 - 5.1,1
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,6.7,2.8,4.1263,1.179,3.8801,4.2914,2.6 to 10.8,1.6 to 4.0,-0.4 to 8.2,Similar to Last Season,0.067,5.0 - 10.4,5
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,6.7,2.8,4.1263,1.179,3.8801,4.2914,2.6 to 10.8,1.6 to 4.0,-0.4 to 8.2,Similar to Last Season,0.067,5.4 - 10.5,5
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,6.9,2.8,4.116,1.1787,4.0484,4.2814,2.8 to 11.0,1.7 to 4.0,-0.2 to 8.3,Similar to Last Season,0.0688,6.8 - 13.2,5
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,6.9,2.8,4.116,1.1787,4.0484,4.2814,2.8 to 11.0,1.7 to 4.0,-0.2 to 8.3,Similar to Last Season,0.0688,5.7 - 7.0,4
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,15.4,15.3,5.0382,3.2334,0.0773,5.9865,10.4 to 20.4,12.1 to 18.6,-5.9 to 6.1,Similar to Last Season,0.154,10.8 - 26.5,5
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,15.4,15.3,5.0382,3.2334,0.0773,5.9865,10.4 to 20.4,12.1 to 18.6,-5.9 to 6.1,Similar to Last Season,0.154,11.5 - 26.7,5
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,15.4,15.3,5.0382,3.2334,0.0773,5.9865,10.4 to 20.4,12.1 to 18.6,-5.9 to 6.1,Similar to Last Season,0.154,11.6 - 28.2,5
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,15.4,15.3,5.0382,3.2334,0.0773,5.9865,10.4 to 20.4,12.1 to 18.6,-5.9 to 6.1,Similar to Last Season,0.154,12.0 - 28.3,5
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,2.2,1.3,1.2487,0.5517,0.964,1.3651,1.0 to 3.5,0.7 to 1.8,-0.4 to 2.3,Similar to Last Season,0.0224,2.2 - 3.1,2
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,2.2,1.3,1.2487,0.5517,0.964,1.3651,1.0 to 3.5,0.7 to 1.8,-0.4 to 2.3,Similar to Last Season,0.0224,0.7 - 2.4,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,2.3,1.3,1.2051,0.5517,1.0471,1.3254,1.1 to 3.5,0.7 to 1.8,-0.3 to 2.4,Similar to Last Season,0.0233,1.0 - 2.7,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,2.3,1.3,1.2051,0.5517,1.0471,1.3254,1.1 to 3.5,0.7 to 1.8,-0.3 to 2.4,Similar to Last Season,0.0233,1.3 - 2.7,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,2.7,4.3,0.9564,1.1139,-1.5907,1.4682,1.8 to 3.7,3.2 to 5.4,-3.1 to -0.1,Lower than Last Season,0.0272,2.3 - 4.8,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,2.7,4.3,0.9564,1.1139,-1.5907,1.4682,1.8 to 3.7,3.2 to 5.4,-3.1 to -0.1,Lower than Last Season,0.0272,2.3 - 4.8,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,3.1,4.3,1.1091,1.1139,-1.176,1.5719,2.0 to 4.2,3.2 to 5.4,-2.7 to 0.4,Similar to Last Season,0.0314,2.4 - 4.8,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,3.1,4.3,1.1091,1.1139,-1.176,1.5719,2.0 to 4.2,3.2 to 5.4,-2.7 to 0.4,Similar to Last Season,0.0314,2.5 - 5.1,1
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.6,1.3,1.8282,0.9708,2.3209,2.07,1.8 to 5.5,0.4 to 2.3,0.3 to 4.4,Higher than Last Season,0.0365,3.2 - 3.9,3
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.6,1.7,1.8282,1.1845,1.9829,2.1784,1.8 to 5.5,0.5 to 2.8,-0.2 to 4.2,Similar to Last Season,0.0365,3.5 - 4.1,3
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,3.6,1.7,1.8282,1.1792,1.9075,2.1755,1.8 to 5.5,0.6 to 2.9,-0.3 to 4.1,Similar to Last Season,0.0365,2.8 - 3.8,2
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,3.6,1.7,1.8282,1.1792,1.9075,2.1755,1.8 to 5.5,0.6 to 2.9,-0.3 to 4.1,Similar to Last Season,0.0365,2.8 - 3.9,2
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,5.8,5.3,2.1254,1.7819,0.5125,2.7735,3.6 to 7.9,3.5 to 7.0,-2.3 to 3.3,Similar to Last Season,0.0576,4.9 - 6.6,2
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,6.2,5.3,2.3023,1.7819,0.9624,2.9113,3.9 to 8.5,3.5 to 7.0,-1.9 to 3.9,Similar to Last Season,0.0621,4.9 - 6.8,2
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,7.1,5.3,2.6585,1.7819,1.8293,3.2004,4.4 to 9.7,3.5 to 7.0,-1.4 to 5.0,Similar to Last Season,0.0708,4.9 - 7.1,2
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,7.1,5.3,2.6543,1.7819,1.8987,3.1969,4.5 to 9.8,3.5 to 7.0,-1.3 to 5.1,Similar to Last Season,0.0715,5.2 - 7.2,2
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.8,1.9,2.5799,1.028,1.8958,2.7772,1.2 to 6.4,0.9 to 2.9,-0.9 to 4.7,Similar to Last Season,0.0381,3.2 - 3.9,3
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.8,1.9,2.5799,1.028,1.8958,2.7772,1.2 to 6.4,0.9 to 2.9,-0.9 to 4.7,Similar to Last Season,0.0381,3.5 - 4.1,3
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,5.1,2,2.2987,1.0329,3.144,2.5201,2.8 to 7.4,1.0 to 3.0,0.6 to 5.7,Higher than Last Season,0.0513,3.9 - 5.1,3
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,5.1,2,2.2987,1.0329,3.144,2.5201,2.8 to 7.4,1.0 to 3.0,0.6 to 5.7,Higher than Last Season,0.0513,4.0 - 5.6,3
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,5.1,4.4,2.2987,1.4239,0.6988,2.704,2.8 to 7.4,3.0 to 5.9,-2.0 to 3.4,Similar to Last Season,0.0513,4.9 - 6.6,2
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,5.1,4.4,2.2987,1.4239,0.6988,2.704,2.8 to 7.4,3.0 to 5.9,-2.0 to 3.4,Similar to Last Season,0.0513,4.9 - 6.8,2
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,5.1,4.4,2.2987,1.4239,0.6988,2.704,2.8 to 7.4,3.0 to 5.9,-2.0 to 3.4,Similar to Last Season,0.0513,4.9 - 7.1,2
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,5.1,4.4,2.2987,1.4239,0.6988,2.704,2.8 to 7.4,3.0 to 5.9,-2.0 to 3.4,Similar to Last Season,0.0513,2.5 - 5.1,1
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.7,1.5,0.9826,0.3505,2.2601,1.0432,2.8 to 4.7,1.1 to 1.8,1.2 to 3.3,Higher than Last Season,0.0373,3.2 - 3.9,3
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.7,1.5,0.857,0.3505,2.2596,0.9259,2.9 to 4.6,1.1 to 1.8,1.3 to 3.2,Higher than Last Season,0.0374,3.5 - 4.1,3
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,3.8,2.1,0.8562,0.8868,1.6202,1.2327,2.9 to 4.6,1.3 to 3.0,0.4 to 2.9,Higher than Last Season,0.0377,2.8 - 3.8,2
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,3.9,2.1,0.891,0.8868,1.7458,1.2571,3.0 to 4.8,1.3 to 3.0,0.5 to 3.0,Higher than Last Season,0.0389,2.8 - 3.9,2
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.3,5.3,1.1058,0.7088,1.0221,1.3135,5.2 to 7.4,4.6 to 6.0,-0.3 to 2.3,Similar to Last Season,0.0633,4.9 - 6.6,2
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,6.6,5.5,1.2146,0.773,1.1609,1.4397,5.4 to 7.8,4.7 to 6.2,-0.3 to 2.6,Similar to Last Season,0.0663,4.9 - 6.8,2
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,6.7,5.5,1.2089,0.7729,1.2271,1.4349,5.5 to 7.9,4.7 to 6.2,-0.2 to 2.7,Similar to Last Season,0.067,4.9 - 7.1,2
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,6.7,6.1,1.205,1.4478,0.6494,1.8837,5.5 to 7.9,4.6 to 7.5,-1.2 to 2.5,Similar to Last Season,0.0674,5.2 - 7.2,2
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,2.4,2.2,1.3653,0.9941,0.2573,1.6889,1.1 to 3.8,1.2 to 3.2,-1.4 to 1.9,Similar to Last Season,0.0244,2.2 - 3.1,2
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,2.4,2.2,1.3653,0.9941,0.2573,1.6889,1.1 to 3.8,1.2 to 3.2,-1.4 to 1.9,Similar to Last Season,0.0244,0.7 - 2.4,1
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,2.4,2.7,1.3653,1.4404,-0.269,1.9846,1.1 to 3.8,1.3 to 4.1,-2.3 to 1.7,Similar to Last Season,0.0244,1.0 - 2.7,1
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,2.4,7.8,1.3653,1.8786,-5.3641,2.3223,1.1 to 3.8,5.9 to 9.7,-7.7 to -3.0,Lower than Last Season,0.0244,1.3 - 2.7,1
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.6,7.8,2.6596,1.8786,-1.2258,3.2562,3.9 to 9.2,5.9 to 9.7,-4.5 to 2.0,Similar to Last Season,0.0658,4.9 - 6.6,2
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,7.6,7.8,3.2044,1.8786,-0.2113,3.7145,4.4 to 10.8,5.9 to 9.7,-3.9 to 3.5,Similar to Last Season,0.0759,6.9 - 8.8,3
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,7.6,8.2,3.2044,2.0709,-0.6293,3.8153,4.4 to 10.8,6.2 to 10.3,-4.4 to 3.2,Similar to Last Season,0.0759,7.2 - 9.0,3
